Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1961","1961","tonnes","2500","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1962","1962","tonnes","2800","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1963","1963","tonnes","3000","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1964","1964","tonnes","1800","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1965","1965","tonnes","2400","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1966","1966","tonnes","2392","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1967","1967","tonnes","5948","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1968","1968","tonnes","4557","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1969","1969","tonnes","2438","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1970","1970","tonnes","3521","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1971","1971","tonnes","3277","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1972","1972","tonnes","4859","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1973","1973","tonnes","5181","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1974","1974","tonnes","5319","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1975","1975","tonnes","5300","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1976","1976","tonnes","5500","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1977","1977","tonnes","6000","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1978","1978","tonnes","6000","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1979","1979","tonnes","6000","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1980","1980","tonnes","6500","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1981","1981","tonnes","6000","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1982","1982","tonnes","5600","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1983","1983","tonnes","6000","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1984","1984","tonnes","6800","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1985","1985","tonnes","7600","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1986","1986","tonnes","8500","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1987","1987","tonnes","9300","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1988","1988","tonnes","10000","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1989","1989","tonnes","11500","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1990","1990","tonnes","13000","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1991","1991","tonnes","14756","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1992","1992","tonnes","9981","","Official data"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1993","1993","tonnes","15500","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1994","1994","tonnes","18000","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1995","1995","tonnes","28000","F","FAO estimate"
"QC","Crops","121","Lebanon","5510","Production","221","Almonds, with shell","1996","1996","tonnes","37385","","Official data"
