dispnum3,incidnum3,dispnum4,incidnum4,stday,stmon,styear,endday,endmon,endyear,duration,tbi,fatality,fatalpre,action,hostlev,numa,revtype1,revtype2,version
3551,3551001,-9,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.3000002
3551,3551002,-9,-9,21,11,1992,24,9,1996,1404,-9,0,0,13,4,9,2,0,4.3000002
3551,3551003,-9,-9,-9,1,1993,-9,1,1993,-9,-9,0,0,7,3,3,2,0,4.3000002
3551,3551004,-9,-9,14,1,1993,-9,1,1993,-9,16,0,0,7,3,1,2,0,4.3000002
3551,3551005,-9,-9,30,1,1993,30,1,1993,1,4,0,0,15,4,1,2,0,4.3000002
3551,3551006,-9,-9,3,2,1993,3,2,1993,1,25,0,0,15,4,1,2,0,4.3000002
3551,3551007,-9,-9,28,2,1993,28,2,1993,1,43,0,0,1,2,1,2,0,4.3000002
3551,3551008,-9,-9,12,4,1993,12,4,1993,1,19,0,0,7,3,3,2,0,4.3000002
3551,3551009,-9,-9,1,5,1993,1,11,1993,185,170,0,0,13,4,1,2,0,4.3000002
3551,3551010,-9,-9,18,10,1993,18,10,1993,1,-9,0,0,1,2,1,2,0,4.3000002
3552,3552001,-9,-9,27,7,1992,27,7,1992,1,6,0,0,7,3,1,2,0,4.3000002
3552,3552002,-9,-9,2,8,1992,2,8,1992,1,1,0,0,8,3,1,2,0,4.3000002
3552,3552003,-9,-9,3,8,1992,24,8,1992,22,23,0,0,7,3,2,2,0,4.3000002
3552,3552004,-9,-9,26,8,1992,26,8,1992,1,2,0,0,7,3,3,2,0,4.3000002
3552,3552005,-9,-9,28,12,1992,28,12,1992,1,7,1,-9,16,4,1,2,0,4.3000002
3552,3552006,-9,-9,4,1,1993,4,1,1993,1,2,0,0,7,3,1,2,0,4.3000002
3552,3552007,-9,-9,6,1,1993,6,1,1993,1,1,0,0,1,2,4,2,1,4.3000002
3552,3552008,-9,-9,7,1,1993,9,1,1993,3,3,0,0,8,3,1,2,0,4.3000002
3552,3552009,-9,-9,10,1,1993,10,1,1993,1,1,0,0,8,3,1,2,0,4.3000002
3552,3552010,-9,-9,11,1,1993,11,1,1993,1,1,0,0,7,3,1,2,4,4.3000002
3552,3552011,-9,-9,12,1,1993,12,1,1993,1,1,0,0,8,3,3,2,0,4.3000002
3552,3552012,-9,-9,13,1,1993,13,1,1993,1,0,1,17,17,4,3,4,0,4.3000002
3552,3552013,-9,-9,13,1,1993,13,1,1993,1,1,0,0,1,2,1,2,0,4.3000002
3552,3552014,-9,-9,14,1,1993,14,1,1993,1,1,0,0,1,2,4,2,0,4.3000002
3552,3552015,-9,-9,15,1,1993,15,1,1993,1,1,0,0,1,2,1,2,0,4.3000002
3552,3552016,-9,-9,16,1,1993,16,1,1993,1,1,0,0,1,2,1,2,0,4.3000002
3552,3552017,-9,-9,17,1,1993,21,1,1993,5,0,-9,-9,17,4,1,2,0,4.3000002
3552,3552018,-9,-9,17,1,1993,17,1,1993,1,0,-9,-9,17,4,1,4,0,4.3000002
3552,3552019,-9,-9,17,1,1993,19,1,1993,3,0,1,-9,16,4,3,2,0,4.3000002
3552,3552020,-9,-9,17,1,1993,17,1,1993,1,1,1,1,17,4,1,2,0,4.3000002
3552,3552021,-9,-9,18,1,1993,18,1,1993,1,3,-9,-9,16,4,3,4,0,4.3000002
3552,3552022,-9,-9,21,1,1993,21,1,1993,1,1,0,0,16,4,2,2,0,4.3000002
3552,3552023,-9,-9,22,1,1993,22,1,1993,1,1,-9,-9,16,4,1,2,0,4.3000002
3552,3552024,-9,-9,23,1,1993,23,1,1993,1,76,-9,-9,17,4,1,2,0,4.3000002
3552,3552025,-9,-9,9,4,1993,9,4,1993,1,9,-9,-9,17,4,1,2,0,4.3000002
3552,3552026,-9,-9,18,4,1993,18,4,1993,1,1,-9,-9,16,4,1,2,0,4.3000002
3552,3552027,-9,-9,19,4,1993,19,4,1993,1,71,-9,-9,16,4,1,2,0,4.3000002
3552,3552028,-9,-9,29,6,1993,29,6,1993,1,0,0,0,7,3,1,2,3,4.3000002
3552,3552029,-9,-9,29,6,1993,29,6,1993,1,2,-9,-9,16,4,1,2,0,4.3000002
3552,3552030,-9,-9,1,7,1993,4,7,1993,4,23,0,0,16,4,1,2,0,4.3000002
3552,3552031,-9,-9,24,7,1993,24,7,1993,1,26,-9,-9,16,4,1,2,0,4.3000002
3552,3552032,-9,-9,19,8,1993,19,8,1993,1,126,-9,-9,17,4,1,2,0,4.3000002
3552,3552033,-9,-9,23,12,1993,23,12,1993,1,-9,0,0,17,4,1,2,0,4.3000002
3555,3555001,-9,-9,20,1,1992,20,1,1992,1,3,-9,-9,17,4,1,1,0,4.3000002
3555,3555002,-9,-9,23,1,1992,23,1,1992,1,33,0,0,12,3,1,1,0,4.3000002
3555,3555003,-9,-9,25,2,1992,29,2,1992,5,11,1,-9,17,4,1,1,0,4.3000002
3555,3555004,-9,-9,6,3,1992,8,4,1992,34,37,2,-9,17,4,1,1,0,4.3000002
3555,3555005,-9,-9,11,4,1992,11,4,1992,1,10,-9,-9,17,4,1,1,0,4.3000002
3555,3555006,-9,-9,21,4,1992,21,4,1992,1,2,1,1,16,4,1,1,0,4.3000002
3555,3555007,-9,-9,23,4,1992,23,4,1992,1,1,-9,-9,17,4,1,1,0,4.3000002
3555,3555008,-9,-9,24,4,1992,24,4,1992,1,77,2,-9,17,4,1,1,0,4.3000002
