dispnum3,incidnum3,dispnum4,incidnum4,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version
3551,3551001,-9,-9,BEL,211,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,CAN,20,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,DEN,390,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,FRN,220,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,GMY,255,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,GRC,350,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,ITA,325,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,NTH,210,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,POR,235,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,SPN,230,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,TUR,640,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,UKG,200,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,USA,2,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.3000002
3551,3551001,-9,-9,YUG,345,16,7,1992,16,7,1992,0,0,2,0,0,1,0,0,4.3000002
3551,3551002,-9,-9,BEL,211,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
3551,3551002,-9,-9,FRN,220,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
3551,3551002,-9,-9,GMY,255,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
3551,3551002,-9,-9,YUG,345,21,11,1993,24,9,1996,0,0,2,0,0,1,0,0,4.3000002
3551,3551002,-9,-9,GRC,350,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
3551,3551002,-9,-9,ITA,325,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
3551,3551002,-9,-9,NTH,210,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
3551,3551002,-9,-9,SPN,230,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
3551,3551002,-9,-9,UKG,200,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
3551,3551002,-9,-9,USA,2,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.3000002
