Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","4","Algeria","5910","Export Quantity","230","Cashew nuts, shelled","2016","2016","tonnes","3","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","4","Algeria","5910","Export Quantity","561","Raisins","2014","2014","tonnes","12","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","4","Algeria","5910","Export Quantity","723","Spices nes","2014","2014","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","7","Angola","5910","Export Quantity","1232","Food prep nes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","1232","Food prep nes","2011","2011","tonnes","1","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","56","Maize","2017","2017","tonnes","130","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","1058","Meat, chicken","2011","2011","tonnes","198","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","1058","Meat, chicken","2014","2014","tonnes","974","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","1058","Meat, chicken","2015","2015","tonnes","157","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","1058","Meat, chicken","2016","2016","tonnes","1792","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","1750","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","897","Milk, whole dried","2016","2016","tonnes","100","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5610","Import Quantity","164","Sugar refined","2011","2011","tonnes","315","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","1","Armenia","5610","Import Quantity","828","Cigarettes","2011","2011","tonnes","8","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","1","Armenia","5610","Import Quantity","828","Cigarettes","2014","2014","tonnes","26","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","1","Armenia","5610","Import Quantity","828","Cigarettes","2015","2015","tonnes","27","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","1","Armenia","5610","Import Quantity","828","Cigarettes","2017","2017","tonnes","3","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","1","Armenia","5910","Export Quantity","561","Raisins","2017","2017","tonnes","1","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","231","Almonds shelled","2010","2010","tonnes","0","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","231","Almonds shelled","2011","2011","tonnes","2","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","231","Almonds shelled","2014","2014","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","231","Almonds shelled","2017","2017","tonnes","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","711","Anise, badian, fennel, coriander","2017","2017","tonnes","5","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","526","Apricots","2010","2010","tonnes","3","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","526","Apricots","2011","2011","tonnes","0","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","527","Apricots, dry","2010","2010","tonnes","4","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","527","Apricots, dry","2011","2011","tonnes","1","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","527","Apricots, dry","2014","2014","tonnes","10","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","527","Apricots, dry","2015","2015","tonnes","17","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","527","Apricots, dry","2016","2016","tonnes","14","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","527","Apricots, dry","2017","2017","tonnes","14","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","633","Beverages, non alcoholic","2009","2009","tonnes","141","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","633","Beverages, non alcoholic","2010","2010","tonnes","528","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","633","Beverages, non alcoholic","2011","2011","tonnes","760","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","633","Beverages, non alcoholic","2014","2014","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","191","Chick peas","2017","2017","tonnes","4","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","885","Cream fresh","2010","2010","tonnes","67","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","570","Figs dried","2015","2015","tonnes","1","R","Estimated data using trading partners database"
