Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5610","Import Quantity","231","Almonds shelled","2008","2008","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5622","Import Value","231","Almonds shelled","2008","2008","1000 US$","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1994","1994","tonnes","17","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1998","1998","tonnes","44","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2004","2004","tonnes","15","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2005","2005","tonnes","16","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2008","2008","tonnes","17","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2012","2012","tonnes","21","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2017","2017","tonnes","60","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","231","Almonds shelled","1994","1994","1000 US$","66","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","231","Almonds shelled","1998","1998","1000 US$","135","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","231","Almonds shelled","2004","2004","1000 US$","65","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","231","Almonds shelled","2005","2005","1000 US$","146","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","231","Almonds shelled","2008","2008","1000 US$","82","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","231","Almonds shelled","2012","2012","1000 US$","95","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5922","Export Value","231","Almonds shelled","2017","2017","1000 US$","305","","Official data"
"TM","Detailed trade matrix","231","United States of America","2","Afghanistan","5610","Import Quantity","221","Almonds, with shell","2007","2007","tonnes","1","","Official data"
