country,code,longitude,latitude,homepart
Afghanistan,AFG,66.00473366,33.83523073,1
Angola,AGO,17.53736768,-12.29336054,1
Albania,ALB,20.04983396,41.14244989,1
Andorra,AND,1.56054378,42.54229102,1
United Arab Emirates,ARE,54.300167099999996,23.90528188,1
Argentina,ARG,-65.17980692,-35.3813488,1
Armenia,ARM,44.92993276,40.28952569,1
Antarctica,ATA,19.92108951,-80.50857913,1
Antigua and Barbuda,ATG,-61.79469343,17.277499600000002,1
Australia,AU1,134.49100008,-25.73288704,1
Austria,AUT,14.1264761,47.58549439,1
Azerbaijan,AZE,47.54599879,40.28827235,1
Burundi,BDI,29.87512156,-3.35939666,1
Belgium,BEL,4.64065114,50.63981576,1
Benin,BEN,2.32785254,9.6417597,1
Burkina Faso,BFA,-1.75456601,12.26953846,1
Bangladesh,BGD,90.23812743,23.86731158,1
Bulgaria,BGR,25.21552909,42.76890318,1
Bahrain,BHR,50.54196932,26.04205135,1
Canada,CAN,-98.30777028,61.36206324,1
The Bahamas,BHS,-76.62843038,24.29036702,1
Bosnia and Herzegovina,BIH,17.76876733,44.17450125,1
Belarus,BLR,28.03209307,53.53131377,1
Belize,BLZ,-88.71010486,17.20027509,1
Bolivia,BOL,-64.68538645,-16.70814787,1
Brazil,BRA,-53.09783113,-10.78777702,1
Barbados,BRB,-59.559796999999996,13.18145428,1
Brunei,BRN,114.72203035,4.51968958,1
Bhutan,BTN,90.40188155,27.41106589,1
Botswana,BWA,23.79853368,-22.18403213,1
Central African Republic,CAF,20.46826831,6.56823297,1
Switzerland,CHE,8.20867471,46.79785878,1
Chile,CHL,-71.38256213,-37.73070989,1
China,CH1,103.81907349,36.56176546,1
Ivory Coast,CIV,-5.5692157,7.6284262,1
Cameroon,CMR,12.73964156,5.69109849,1
Democratic Republic of the Congo,COD,23.64396107,-2.87746289,1
Republic of Congo,COG,15.21965762,-0.83787463,1
Colombia,COL,-73.08114582,3.91383431,1
Comoros,COM,43.68253968,-11.87783444,1
Cape Verde,CPV,-23.959888199999998,15.95523324,1
Costa Rica,CRI,-84.19208768,9.97634464,1
Cuba,CUB,-79.01605384,21.62289528,1
Northern Cyprus,CYN,33.568481299999995,35.26277486,1
Cyprus,CYP,33.0060022,34.91667211,1
Czech Republic,CZE,15.31240163,49.73341233,1
Germany,DEU,10.38578051,51.10698181,1
Djibouti,DJI,42.560675399999994,11.74871806,1
Dominica,DMA,-61.357726,15.439470199999999,1
Denmark,DN1,10.02800992,55.98125296,1
Dominican Republic,DOM,-70.50568896,18.89433082,1
Algeria,DZA,2.61732301,28.15893849,1
Ecuador,ECU,-78.75201922,-1.42381612,1
Egypt,EGY,29.86190099,26.49593311,1
Eritrea,ERI,38.84617011,15.36186618,1
Spain,ESP,-3.64755047,40.24448698,1
Estonia,EST,25.54248537,58.67192972,1
Ethiopia,ETH,39.60080098,8.62278679,1
Finland,FI1,26.274665600000002,64.49884603,1
Fiji,FJI,165.45195432,-17.42858032,1
France,FR1,-2.76172945,42.17344011,1
Federated States of Micronesia,FSM,153.23943792,7.45246814,1
Gabon,GAB,11.7886287,-0.58660025,1
United Kingdom,GB1,-2.86563164,54.12387156,1
Georgia,GEO,43.50780252,42.16855755,1
Ghana,GHA,-1.21676566,7.95345644,1
Guinea,GIN,-10.94066612,10.43621593,1
Gambia,GMB,-15.39601295,13.44965244,1
Guinea Bissau,GNB,-14.94972445,12.04744948,1
Equatorial Guinea,GNQ,10.34137924,1.70555135,1
Greece,GRC,22.95555794,39.07469623,1
Grenada,GRD,-61.68220189,12.11725044,1
Guatemala,GTM,-90.36482009,15.69403664,1
Guyana,GUY,-58.98202459,4.79378034,1
Honduras,HND,-86.6151661,14.82688165,1
Croatia,HRV,16.40412899,45.08047631,1
Haiti,HTI,-72.68527509,18.93502563,1
Hungary,HUN,19.39559116,47.16277506,1
Indonesia,IDN,117.24011366,-2.21505456,1
India,IND,79.61197609999999,22.88578212,1
Ireland,IRL,-8.13793569,53.17544870000001,1
Iran,IRN,54.27407004,32.57503292,1
Iraq,IRQ,43.74353149,33.03970582,1
Iceland,ISL,-18.57396167,64.99575386,1
Israel,ISR,35.00444693,31.46110101,1
Italy,ITA,12.07001339,42.79662641,1
Jamaica,JAM,-77.31482593,18.15694878,1
Jordan,JOR,36.77136104,31.24579091,1
Japan,JPN,138.03089558,37.59230135,1
Kashmir,KAS,77.18011865,35.39236325,1
Kazakhstan,KAZ,67.29149357,48.15688067,1
Kenya,KEN,37.79593973,0.59988022,1
Kyrgyzstan,KGZ,74.54165513,41.46221943,1
Cambodia,KHM,104.90694325,12.72004786,1
Kiribati,KIR,-45.61110513,0.86001503,1
Saint Kitts and Nevis,KNA,-62.68755265,17.2645995,1
South Korea,KOR,127.83916086,36.38523983,1
Kosovo,KOS,20.87249811,42.57078707,1
Kuwait,KWT,47.58700459,29.33431262,1
Laos,LAO,103.73772412,18.50217433,1
Lebanon,LBN,35.88016072,33.92306631,1
Liberia,LBR,-9.32207573,6.45278492,1
Libya,LBY,18.00866169,27.03094495,1
Saint Lucia,LCA,-60.96969923,13.89479481,1
Liechtenstein,LIE,9.53574312,47.13665835,1
Sri Lanka,LKA,80.70108238,7.61266509,1
Lesotho,LSO,28.22723131,-29.58003188,1
Lithuania,LTU,23.88719355,55.32610984,1
Luxembourg,LUX,6.07182201,49.76725361,1
Latvia,LVA,24.91235983,56.85085163,1
Morocco,MAR,-8.45615795,29.83762955,1
Monaco,MCO,7.40627677,43.75274627,1
Moldova,MDA,28.45673372,47.19498804,1
Madagascar,MDG,46.70473674,-19.37189587,1
Maldives,MDV,73.45713004,3.7287092000000004,1
Mexico,MEX,-102.52345169,23.94753724,1
Marshall Islands,MHL,170.33976122,7.00376358,1
Macedonia,MKD,21.68211346,41.59530893,1
Mali,MLI,-3.54269065,17.34581581,1
Malta,MLT,14.40523316,35.92149632,1
Myanmar,MMR,96.48843321,21.18566599,1
Montenegro,MNE,19.23883939,42.78890259,1
Mongolia,MNG,103.05299765,46.82681544,1
Mozambique,MOZ,35.53367543,-17.27381643,1
Mauritania,MRT,-10.34779815,20.25736706,1
Mauritius,MUS,57.57120551,-20.27768704,1
Malawi,MWI,34.28935599,-13.21808088,1
Malaysia,MYS,109.69762284,3.78986846,1
Namibia,NAM,17.20963567,-22.13032568,1
Niger,NER,9.38545882,17.41912493,1
Nigeria,NGA,8.08943895,9.59411452,1
Nicaragua,NIC,-85.0305297,12.84709429,1
Netherlands,NL1,5.28144793,52.100789899999995,1
Norway,NOR,15.34834656,68.75015572,1
Nepal,NPL,83.91582640000001,28.24891365,1
Nauru,NRU,166.93256823,-0.51912639,1
New Zealand,NZ1,171.48492347,-41.81113557,1
Oman,OMN,56.09166155,20.60515333,1
Pakistan,PAK,69.33957937,29.9497515,1
Panama,PAN,-80.11915156,8.51750797,1
Peru,PER,-74.38242685,-9.15280381,1
Philippines,PHL,122.88393253,11.77536778,1
Palau,PLW,134.40807966,7.28742784,1
Papua New Guinea,PNG,145.20744752,-6.46416646,1
Poland,POL,19.39012835,52.12759564,1
North Korea,PRK,127.19247973,40.15350311,1
Portugal,PRT,-8.50104361,39.59550671,1
Paraguay,PRY,-58.40013703,-23.22823913,1
Qatar,QAT,51.18479632,25.30601188,1
Romania,ROU,24.97293039,45.85243127,1
Russia,RUS,96.68656112,61.98052209,1
Rwanda,RWA,29.91988515,-1.99033832,1
Western Sahara,SAH,-12.21982755,24.22956739,1
Saudi Arabia,SAU,44.53686271,24.12245841,1
Sudan,SDN,29.94046812,15.99035669,1
South Sudan,SDS,30.24790002,7.30877945,1
Senegal,SEN,-14.4734924,14.36624173,1
Singapore,SGP,103.81725592,1.35876087,1
Solomon Islands,SLB,159.63287668,-8.92178022,1
Sierra Leone,SLE,-11.79271247,8.56329593,1
El Salvador,SLV,-88.87164469,13.73943744,1
San Marino,SMR,12.45922334,43.94186747,1
Somaliland,SOL,46.25198395,9.73345496,1
Somalia,SOM,45.70714487,4.75062876,1
Republic of Serbia,SRB,20.78958334,44.2215032,1
Sao Tome and Principe,STP,6.72429658,0.44391445,1
Suriname,SUR,-55.9123457,4.13055413,1
Slovakia,SVK,19.47905218,48.70547528,1
Slovenia,SVN,14.80444238,46.11554772,1
Sweden,SWE,16.74558049,62.77966519,1
Swaziland,SWZ,31.4819369,-26.55843045,1
Seychelles,SYC,55.47603279,-4.66099094,1
Syria,SYR,38.50788204,35.02547389,1
Chad,TCD,18.64492513,15.33333758,1
Togo,TGO,0.96232845,8.52531356,1
Thailand,THA,101.0028813,15.11815794,1
Tajikistan,TJK,71.01362631,38.5304539,1
Turkmenistan,TKM,59.37100021,39.11554137,1
East Timor,TLS,125.84438982,-8.82889162,1
Tonga,TON,-174.80987341,-20.42843174,1
Trinidad and Tobago,TTO,-61.26567923,10.45733408,1
Tunisia,TUN,9.55288359,34.11956246,1
Turkey,TUR,35.16895346,39.0616029,1
Taiwan,TWN,120.95427281,23.753992800000002,1
United Republic of Tanzania,TZA,34.81309981,-6.27565408,1
Uganda,UGA,32.36907971,1.27469299,1
Ukraine,UKR,31.38326469,48.99656673,1
Uruguay,URY,-56.01807053,-32.79951534,1
United States of America,US1,-112.46167369999999,45.6795472,1
Uzbekistan,UZB,63.14001528,41.75554225,1
Vatican,VAT,12.43387177,41.90174985,1
Saint Vincent and the Grenadines,VCT,-61.20129695,13.22472269,1
Venezuela,VEN,-66.18184123,7.12422421,1
Vietnam,VNM,106.29914698,16.646016699999997,1
Vanuatu,VUT,167.68644636,-16.22640909,1
Samoa,WSM,-172.16485064,-13.75324346,1
Yemen,YEM,47.58676189,15.90928005,1
South Africa,ZAF,25.08390093,-29.00034095,1
Zambia,ZMB,27.77475946,-13.45824152,1
Zimbabwe,ZWE,29.8514412,-19.00420419,1
