country,name,start_year,end_year,years
People's Republic of China,Indo-Pakistani War of 1965.,1965-01-01,1965-01-01,[1965]
Pakistan,Indo-Pakistani War of 1965.,1965-01-01,1965-01-01,[1965]
India,Indo-Pakistani War of 1965.,1965-01-01,1965-01-01,[1965]
Croatia,Croatian War of Independence,1991-01-01,1995-01-01,"[1991, 1992, 1993, 1994, 1995]"
Democratic Republic of the Congo,Second Congo War,1998-01-01,2003-01-01,"[1998, 1999, 2000, 2001, 2002, 2003]"
Iran,Iran–Iraq War,1980-01-01,1988-01-01,"[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988]"
Iraq,Iran–Iraq War,1980-01-01,1988-01-01,"[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988]"
Iraq,2003 invasion of Iraq,2003-01-01,2003-01-01,[2003]
Russia,Second Chechen War,1999-01-01,2009-01-01,"[1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]"
South Korea,Shelling of Yeonpyeong,2010-01-01,2010-01-01,[2010]
Bosnia and Herzegovina,Operation Deliberate Force,1995-01-01,1995-01-01,[1995]
Bosnia and Herzegovina,Bosnian War,1992-01-01,1995-01-01,"[1992, 1993, 1994, 1995]"
Afghanistan,War in Afghanistan,2001-01-01,2014-01-01,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]"
Uganda,Uganda–Tanzania War,1978-01-01,1979-01-01,"[1978, 1979]"
Bolivia,Football War,1969-01-01,1969-01-01,[1969]
Senegal,Casamance conflict,1982-01-01,2014-01-01,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]"
Sri Lanka,Sri Lankan Civil War,1983-01-01,2009-01-01,"[1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]"
Israel,Gaza War,2008-01-01,2009-01-01,"[2008, 2009]"
Palestine,Gaza War,2008-01-01,2009-01-01,"[2008, 2009]"
Pakistan,War in North-West Pakistan,2004-01-01,2017-01-01,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
Sudan,Darfur conflict,2003-01-01,2017-01-01,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
Chad,Toyota War,1986-01-01,1987-01-01,"[1986, 1987]"
Ethiopia,Ethio-Somali War,1977-01-01,1978-01-01,"[1977, 1978]"
Egypt,War of Attrition,1967-01-01,1970-01-01,"[1967, 1968, 1969, 1970]"
Azerbaijan,Nagorno-Karabakh War,1988-01-01,1994-01-01,"[1988, 1989, 1990, 1991, 1992, 1993, 1994]"
Armenia,Nagorno-Karabakh War,1988-01-01,1994-01-01,"[1988, 1989, 1990, 1991, 1992, 1993, 1994]"
Pakistan,Bangladesh Liberation War,1971-01-01,1971-01-01,[1971]
Chad,Chadian–Libyan conflict,1978-01-01,1987-01-01,"[1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987]"
Iraq,Kurdish–Turkish conflict,2015-01-01,2017-01-01,"[2015, 2016, 2017]"
Turkey,Kurdish–Turkish conflict,2015-01-01,2017-01-01,"[2015, 2016, 2017]"
Georgia,Russo-Georgian War,2008-01-01,2008-01-01,[2008]
Moldova,War of Transnistria,1992-01-01,1992-01-01,[1992]
Cambodia,Cambodian–Vietnamese War,1977-01-01,1991-01-01,"[1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991]"
Russia,Invasion of Dagestan,1999-01-01,1999-01-01,[1999]
Democratic Republic of the Congo,Kivu conflict,2004-01-01,2017-01-01,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
Syria,Kurdish–Turkish conflict,2015-01-01,2017-01-01,"[2015, 2016, 2017]"
Yemen,North Yemen Civil War,1962-01-01,1970-01-01,"[1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970]"
Mali,Agacher Strip War,1985-01-01,1985-01-01,[1985]
Burkina Faso,Agacher Strip War,1985-01-01,1985-01-01,[1985]
North Macedonia,2001 insurgency in the Republic of Macedonia,2001-01-01,2001-01-01,[2001]
Eritrea,Eritrean–Ethiopian War,1998-01-01,2000-01-01,"[1998, 1999, 2000]"
Ethiopia,Eritrean–Ethiopian War,1998-01-01,2000-01-01,"[1998, 1999, 2000]"
Ethiopia,Second Sudanese Civil War,1983-01-01,2005-01-01,"[1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005]"
Sudan,Second Sudanese Civil War,1983-01-01,2005-01-01,"[1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005]"
Republic of the Congo,Republic of the Congo Civil War,1997-01-01,1999-01-01,"[1997, 1998, 1999]"
Bosnia and Herzegovina,Croat–Bosniak War,1992-01-01,1994-01-01,"[1992, 1993, 1994]"
Somalia,War in Somalia (2006-2009),2006-01-01,2009-01-01,"[2006, 2007, 2008, 2009]"
Georgia,War in Abkhazia,1992-01-01,1993-01-01,"[1992, 1993]"
Tajikistan,Civil war in Tajikistan,1992-01-01,1997-01-01,"[1992, 1993, 1994, 1995, 1996, 1997]"
Singapore,Indonesia–Malaysia confrontation,1963-01-01,1966-01-01,"[1963, 1964, 1965, 1966]"
Malaysia,Indonesia–Malaysia confrontation,1963-01-01,1966-01-01,"[1963, 1964, 1965, 1966]"
Thailand,Indonesia–Malaysia confrontation,1963-01-01,1966-01-01,"[1963, 1964, 1965, 1966]"
Kenya,Shifta War,1963-01-01,1967-01-01,"[1963, 1964, 1965, 1966, 1967]"
India,Kargil War,1999-01-01,1999-01-01,[1999]
Algeria,Sand War,1963-01-01,1964-01-01,"[1963, 1964]"
India,Indo-Pakistani War of 1971,1971-01-01,1971-01-01,[1971]
Bangladesh,Indo-Pakistani War of 1971,1971-01-01,1971-01-01,[1971]
Pakistan,Indo-Pakistani War of 1971,1971-01-01,1971-01-01,[1971]
East Timor,Indonesian invasion of East Timor,1975-01-01,1979-01-01,"[1975, 1976, 1977, 1978, 1979]"
Jordan,War over Water,1964-01-01,1967-01-01,"[1964, 1965, 1966, 1967]"
Bosnia and Herzegovina,Operation Winter '94,1994-01-01,1994-01-01,[1994]
Croatia,Operation Winter '94,1994-01-01,1994-01-01,[1994]
Sri Lanka,Indian intervention in the Sri Lankan Civil War,1987-01-01,1990-01-01,"[1987, 1988, 1989, 1990]"
Sri Lanka,Eelam War II,1990-01-01,1995-01-01,"[1990, 1991, 1992, 1993, 1994, 1995]"
Sri Lanka,Eelam War III,1995-01-01,2002-01-01,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]"
Iraq,Iraq War troop surge of 2007,2007-01-01,2008-01-01,"[2007, 2008]"
Djibouti,Djiboutian–Eritrean border conflict,2008-01-01,2008-01-01,[2008]
Sri Lanka,Eelam War I,1983-01-01,1987-01-01,"[1983, 1984, 1985, 1986, 1987]"
Ukraine,War in Donbass,2014-01-01,2017-01-01,"[2014, 2015, 2016, 2017]"
Palestine,2014 Israel–Gaza conflict,2014-01-01,2014-01-01,[2014]
Israel,2014 Israel–Gaza conflict,2014-01-01,2014-01-01,[2014]
Sri Lanka,Eastern Theater of Eelam War IV,2006-01-01,2007-01-01,"[2006, 2007]"
Iraq,Iraqi Civil War (2014–present),2014-01-01,2017-01-01,"[2014, 2015, 2016, 2017]"
Afghanistan,War in Afghanistan (2015–),2015-01-01,2017-01-01,"[2015, 2016, 2017]"
Libya,Libyan civil war (2014–),2014-01-01,2017-01-01,"[2014, 2015, 2016, 2017]"
Syria,Aleppo offensive,2013-01-01,2013-01-01,[2013]
Yemen,Saudi Arabian-led intervention in Yemen,2015-01-01,2017-01-01,"[2015, 2016, 2017]"
Rwanda,Second Rwanda War,1994-01-01,1994-01-01,[1994]
Liberia,Second Liberia War,1992-01-01,1995-01-01,"[1992, 1993, 1994, 1995]"
Rwanda,Third Rwanda War,1997-01-01,1998-01-01,"[1997, 1998]"
Cambodia,Second Cambodia Civil,1993-01-01,1997-01-01,"[1993, 1994, 1995, 1996, 1997]"
Guatemala,Third Guatemala War,1978-01-01,1984-01-01,"[1978, 1979, 1980, 1981, 1982, 1983, 1984]"
Burundi,First Burundi War,1972-01-01,1972-01-01,[1972]
