name,country,end_year,is_state,location,participant,start_year
Indo-Pakistani War of 1965.,People's Republic of China,1965-01-01,True,Kashmir,India,1965-01-01
Indo-Pakistani War of 1965.,People's Republic of China,1965-01-01,True,Kashmir,Pakistan,1965-01-01
Indo-Pakistani War of 1965.,Pakistan,1965-01-01,True,Kashmir,India,1965-01-01
Indo-Pakistani War of 1965.,Pakistan,1965-01-01,True,Kashmir,Pakistan,1965-01-01
Indo-Pakistani War of 1965.,India,1965-01-01,True,Kashmir,India,1965-01-01
Indo-Pakistani War of 1965.,India,1965-01-01,True,Kashmir,Pakistan,1965-01-01
Croatian War of Independence,Croatia,1995-01-01,True,Croatia,Socialist Federal Republic of Yugoslavia,1991-01-01
Croatian War of Independence,Croatia,1995-01-01,True,Croatia,Republic of Bosnia and Herzegovina,1991-01-01
Croatian War of Independence,Croatia,1995-01-01,True,Croatia,Croatia,1991-01-01
Croatian War of Independence,Croatia,1995-01-01,True,Croatia,Republika Srpska,1991-01-01
Croatian War of Independence,Croatia,1995-01-01,True,Croatia,Republic of Serbian Krajina,1991-01-01
Croatian War of Independence,Croatia,1995-01-01,True,Croatia,Republic of Serbia,1991-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Rwanda,1998-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Democratic Republic of the Congo,1998-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Chad,1998-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Angola,1998-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Sudan,1998-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Burundi,1998-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Namibia,1998-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Uganda,1998-01-01
Second Congo War,Democratic Republic of the Congo,2003-01-01,True,Democratic Republic of the Congo,Zimbabwe,1998-01-01
Iran–Iraq War,Iran,1988-01-01,True,Persian Gulf,Sudan,1980-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Persian Gulf,Iraq,1980-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Persian Gulf,Iran,1980-01-01
2003 invasion of Iraq,Iraq,2003-01-01,True,Iraq,Poland,2003-01-01
2003 invasion of Iraq,Iraq,2003-01-01,True,Iraq,United Kingdom,2003-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Persian Gulf,Sudan,1980-01-01
Iran–Iraq War,Iran,1988-01-01,True,Persian Gulf,Iraq,1980-01-01
Iran–Iraq War,Iran,1988-01-01,True,Persian Gulf,Iran,1980-01-01
2003 invasion of Iraq,Iraq,2003-01-01,True,Iraq,Australia,2003-01-01
2003 invasion of Iraq,Iraq,2003-01-01,True,Iraq,United States of America,2003-01-01
Second Chechen War,Russia,2009-01-01,True,Chechen Republic,Russia,1999-01-01
Second Chechen War,Russia,2009-01-01,True,Chechen Republic,Georgia,1999-01-01
Second Chechen War,Russia,2009-01-01,True,Chechen Republic,Chechen Republic of Ichkeria,1999-01-01
Iran–Iraq War,Iran,1988-01-01,True,Iran,Sudan,1980-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Iran,Iraq,1980-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Iran,Iran,1980-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Iran,Sudan,1980-01-01
Iran–Iraq War,Iran,1988-01-01,True,Iran,Iraq,1980-01-01
Iran–Iraq War,Iran,1988-01-01,True,Iran,Iran,1980-01-01
Iran–Iraq War,Iran,1988-01-01,True,Iraq,Sudan,1980-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Iraq,Iraq,1980-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Iraq,Iran,1980-01-01
Iran–Iraq War,Iraq,1988-01-01,True,Iraq,Sudan,1980-01-01
Iran–Iraq War,Iran,1988-01-01,True,Iraq,Iraq,1980-01-01
Iran–Iraq War,Iran,1988-01-01,True,Iraq,Iran,1980-01-01
Shelling of Yeonpyeong,South Korea,2010-01-01,True,Yeonpyeong,South Korea,2010-01-01
Shelling of Yeonpyeong,South Korea,2010-01-01,True,Yeonpyeong,North Korea,2010-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Netherlands,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Turkey,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,United Kingdom,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,France,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Canada,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Norway,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,United States of America,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Spain,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Denmark,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Italy,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Luxembourg,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Belgium,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Germany,1995-01-01
Operation Deliberate Force,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Portugal,1995-01-01
Bosnian War,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Republic of Bosnia and Herzegovina,1992-01-01
Bosnian War,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Autonomous Province of Western Bosnia,1992-01-01
Bosnian War,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Croatia,1992-01-01
Bosnian War,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Republika Srpska,1992-01-01
Bosnian War,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Republic of Serbian Krajina,1992-01-01
Bosnian War,Bosnia and Herzegovina,1995-01-01,True,Bosnia and Herzegovina,Croatian Republic of Herzeg-Bosnia,1992-01-01
War in Afghanistan,Afghanistan,2014-01-01,True,Afghanistan,United Kingdom,2001-01-01
War in Afghanistan,Afghanistan,2014-01-01,True,Afghanistan,Canada,2001-01-01
War in Afghanistan,Afghanistan,2014-01-01,True,Afghanistan,Islamic Emirate of Afghanistan,2001-01-01
War in Afghanistan,Afghanistan,2014-01-01,True,Afghanistan,Australia,2001-01-01
War in Afghanistan,Afghanistan,2014-01-01,True,Afghanistan,United States of America,2001-01-01
War in Afghanistan,Afghanistan,2014-01-01,True,Afghanistan,Germany,2001-01-01
Uganda–Tanzania War,Uganda,1979-01-01,True,Uganda,Tanzania,1978-01-01
Uganda–Tanzania War,Uganda,1979-01-01,True,Uganda,Uganda,1978-01-01
Uganda–Tanzania War,Uganda,1979-01-01,True,Uganda,People's Republic of Mozambique,1978-01-01
Football War,Bolivia,1969-01-01,True,Bolivia,El Salvador,1969-01-01
Casamance conflict,Senegal,2014-01-01,True,Senegal,Senegal,1982-01-01
Sri Lankan Civil War,Sri Lanka,2009-01-01,True,Sri Lanka,Sri Lanka,1983-01-01
Football War,Bolivia,1969-01-01,True,Bolivia,Honduras,1969-01-01
Gaza War,Israel,2009-01-01,True,Gaza Strip,Israel,2008-01-01
Gaza War,Palestine,2009-01-01,True,Southern District,Israel,2008-01-01
Gaza War,Palestine,2009-01-01,True,Gaza Strip,Israel,2008-01-01
Gaza War,Israel,2009-01-01,True,Southern District,Israel,2008-01-01
War in North-West Pakistan,Pakistan,2017-01-01,True,Federally Administered Tribal Areas,United States of America,2004-01-01
War in North-West Pakistan,Pakistan,2017-01-01,True,Federally Administered Tribal Areas,Islamic State of Iraq and the Levant,2004-01-01
War in North-West Pakistan,Pakistan,2017-01-01,True,Federally Administered Tribal Areas,Pakistan,2004-01-01
War in North-West Pakistan,Pakistan,2017-01-01,True,Federally Administered Tribal Areas,United Kingdom,2004-01-01
Darfur conflict,Sudan,2017-01-01,True,Darfur,Sudan,2003-01-01
Toyota War,Chad,1987-01-01,True,Borkou-Ennedi-Tibesti Prefecture,France,1986-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ethiopia,Somalia,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ethiopia,Ethiopia,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ethiopia,Soviet Union,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ogaden,Somalia,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ogaden,Ethiopia,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ogaden,Soviet Union,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ethiopia,South Yemen,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ethiopia,Cuba,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ethiopia,Somali Democratic Republic,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ogaden,South Yemen,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ogaden,Cuba,1977-01-01
Ethio-Somali War,Ethiopia,1978-01-01,True,Ogaden,Somali Democratic Republic,1977-01-01
War of Attrition,Egypt,1970-01-01,True,Sinai Peninsula,Egypt,1967-01-01
War of Attrition,Egypt,1970-01-01,True,Sinai Peninsula,Israel,1967-01-01
War of Attrition,Egypt,1970-01-01,True,Sinai Peninsula,Syria,1967-01-01
War of Attrition,Egypt,1970-01-01,True,Sinai Peninsula,Jordan,1967-01-01
War of Attrition,Egypt,1970-01-01,True,Sinai Peninsula,Soviet Union,1967-01-01
War of Attrition,Egypt,1970-01-01,True,Sinai Peninsula,Cuba,1967-01-01
Nagorno-Karabakh War,Azerbaijan,1994-01-01,True,Azerbaijan,Armenian Soviet Socialist Republic,1988-01-01
